date,M2SL
1986-12-31,2701.3
1987-01-31,2728.0
1987-02-28,2743.9
1987-03-31,2747.5
1987-04-30,2753.7
1987-05-31,2767.7
1987-06-30,2772.9
1987-07-31,2774.6
1987-08-31,2779.0
1987-09-30,2788.2
1987-10-31,2799.5
1987-11-30,2814.8
1987-12-31,2818.9
1988-01-31,2826.4
1988-02-29,2847.4
1988-03-31,2870.4
1988-04-30,2890.7
1988-05-31,2910.7
1988-06-30,2926.0
1988-07-31,2938.4
1988-08-31,2947.2
1988-09-30,2952.0
1988-10-31,2956.9
1988-11-30,2965.3
1988-12-31,2980.2
1989-01-31,2988.2
1989-02-28,2991.7
1989-03-31,2992.2
1989-04-30,2999.7
1989-05-31,3006.0
1989-06-30,3011.6
1989-07-31,3027.9
1989-08-31,3052.4
1989-09-30,3074.4
1989-10-31,3092.5
1989-11-30,3114.1
1989-12-31,3133.3
1990-01-31,3152.5
1990-02-28,3166.8
1990-03-31,3179.2
1990-04-30,3190.1
1990-05-31,3201.6
1990-06-30,3200.6
1990-07-31,3213.7
1990-08-31,3224.5
1990-09-30,3242.0
1990-10-31,3254.6
1990-11-30,3259.3
1990-12-31,3262.6
1991-01-31,3271.8
1991-02-28,3287.7
1991-03-31,3304.5
1991-04-30,3321.9
1991-05-31,3332.4
1991-06-30,3343.0
1991-07-31,3351.9
1991-08-31,3356.1
1991-09-30,3355.0
1991-10-31,3354.9
1991-11-30,3360.1
1991-12-31,3365.5
1992-01-31,3372.2
1992-02-29,3381.2
1992-03-31,3400.0
1992-04-30,3403.9
1992-05-31,3399.7
1992-06-30,3398.6
1992-07-31,3393.4
1992-08-31,3393.9
1992-09-30,3398.8
1992-10-31,3410.3
1992-11-30,3423.8
1992-12-31,3426.5
1993-01-31,3424.7
1993-02-28,3419.1
1993-03-31,3414.5
1993-04-30,3411.7
1993-05-31,3411.3
1993-06-30,3436.9
1993-07-31,3442.4
1993-08-31,3442.0
1993-09-30,3445.7
1993-10-31,3452.2
1993-11-30,3456.7
1993-12-31,3470.1
1994-01-31,3474.5
1994-02-28,3474.9
1994-03-31,3475.7
1994-04-30,3480.1
1994-05-31,3481.3
1994-06-30,3490.8
1994-07-31,3479.5
1994-08-31,3488.2
1994-09-30,3485.7
1994-10-31,3486.1
1994-11-30,3484.3
1994-12-31,3487.2
1995-01-31,3486.4
1995-02-28,3492.4
1995-03-31,3489.9
1995-04-30,3491.1
1995-05-31,3499.2
1995-06-30,3524.2
1995-07-31,3548.9
1995-08-31,3567.4
1995-09-30,3589.0
1995-10-31,3602.1
1995-11-30,3613.4
1995-12-31,3619.9
1996-01-31,3629.5
1996-02-29,3647.9
1996-03-31,3661.8
1996-04-30,3686.9
1996-05-31,3697.7
1996-06-30,3709.6
1996-07-31,3722.5
1996-08-31,3737.1
1996-09-30,3744.0
1996-10-31,3753.4
1996-11-30,3772.8
1996-12-31,3795.1
1997-01-31,3818.6
1997-02-28,3834.6
1997-03-31,3846.3
1997-04-30,3861.2
1997-05-31,3877.0
1997-06-30,3889.2
1997-07-31,3906.0
1997-08-31,3923.9
1997-09-30,3957.4
1997-10-31,3973.1
1997-11-30,3992.3
1997-12-31,4014.8
1998-01-31,4032.9
1998-02-28,4056.2
1998-03-31,4088.9
1998-04-30,4114.3
1998-05-31,4140.2
1998-06-30,4164.4
1998-07-31,4184.1
1998-08-31,4203.8
1998-09-30,4228.7
1998-10-31,4267.6
1998-11-30,4307.7
1998-12-31,4346.4
1999-01-31,4375.2
1999-02-28,4402.6
1999-03-31,4425.3
1999-04-30,4432.1
1999-05-31,4460.7
1999-06-30,4485.3
1999-07-31,4507.2
1999-08-31,4534.5
1999-09-30,4551.7
1999-10-31,4567.7
1999-11-30,4591.5
1999-12-31,4610.5
2000-01-31,4638.0
2000-02-29,4666.2
2000-03-31,4679.4
2000-04-30,4710.2
2000-05-31,4766.1
2000-06-30,4753.9
2000-07-31,4771.8
2000-08-31,4789.4
2000-09-30,4817.5
2000-10-31,4853.2
2000-11-30,4869.2
2000-12-31,4880.1
2001-01-31,4924.7
2001-02-28,4975.3
2001-03-31,5013.5
2001-04-30,5071.2
2001-05-31,5135.2
2001-06-30,5132.2
2001-07-31,5172.5
2001-08-31,5202.4
2001-09-30,5236.3
2001-10-31,5347.4
2001-11-30,5336.0
2001-12-31,5379.6
2002-01-31,5432.7
2002-02-28,5453.0
2002-03-31,5482.4
2002-04-30,5494.2
2002-05-31,5494.4
2002-06-30,5520.6
2002-07-31,5545.6
2002-08-31,5588.2
2002-09-30,5630.6
2002-10-31,5655.0
2002-11-30,5699.6
2002-12-31,5749.7
2003-01-31,5770.9
2003-02-28,5803.5
2003-03-31,5839.5
2003-04-30,5860.3
2003-05-31,5897.7
2003-06-30,5958.0
2003-07-31,5994.7
2003-08-31,6041.4
2003-09-30,6099.5
2003-10-31,6071.6
2003-11-30,6062.5
2003-12-31,6067.7
2004-01-31,6065.9
2004-02-29,6074.4
2004-03-31,6113.2
2004-04-30,6149.0
2004-05-31,6190.2
2004-06-30,6267.0
2004-07-31,6269.4
2004-08-31,6283.1
2004-09-30,6309.2
2004-10-31,6343.9
2004-11-30,6372.1
2004-12-31,6398.7
2005-01-31,6417.2
2005-02-28,6423.4
2005-03-31,6431.8
2005-04-30,6440.8
2005-05-31,6454.7
2005-06-30,6472.0
2005-07-31,6504.4
2005-08-31,6536.0
2005-09-30,6568.7
2005-10-31,6602.9
2005-11-30,6637.0
2005-12-31,6653.4
2006-01-31,6680.1
2006-02-28,6722.5
2006-03-31,6746.8
2006-04-30,6761.1
2006-05-31,6798.5
2006-06-30,6805.2
2006-07-31,6843.2
2006-08-31,6884.6
2006-09-30,6915.4
2006-10-31,6942.6
2006-11-30,6991.6
2006-12-31,7026.5
2007-01-31,7069.5
2007-02-28,7107.4
2007-03-31,7123.2
2007-04-30,7156.9
2007-05-31,7229.3
2007-06-30,7243.2
2007-07-31,7276.3
2007-08-31,7306.6
2007-09-30,7382.8
2007-10-31,7401.1
2007-11-30,7414.8
2007-12-31,7439.6
2008-01-31,7469.4
2008-02-29,7503.1
2008-03-31,7587.6
2008-04-30,7653.3
2008-05-31,7696.1
2008-06-30,7708.3
2008-07-31,7725.8
2008-08-31,7772.1
2008-09-30,7787.0
2008-10-31,7856.5
2008-11-30,7963.1
2008-12-31,8013.5
2009-01-31,8189.7
2009-02-28,8271.2
2009-03-31,8300.5
2009-04-30,8366.5
2009-05-31,8369.9
2009-06-30,8427.6
2009-07-31,8437.2
2009-08-31,8442.0
2009-09-30,8441.8
2009-10-31,8441.1
2009-11-30,8468.1
2009-12-31,8498.2
2010-01-31,8493.1
2010-02-28,8455.4
2010-03-31,8505.1
2010-04-30,8502.2
2010-05-31,8532.8
2010-06-30,8587.7
2010-07-31,8606.7
2010-08-31,8616.3
2010-09-30,8666.7
2010-10-31,8697.8
2010-11-30,8746.9
2010-12-31,8767.7
2011-01-31,8799.4
2011-02-28,8820.4
2011-03-31,8884.2
2011-04-30,8940.6
2011-05-31,9002.1
2011-06-30,9072.7
2011-07-31,9148.4
2011-08-31,9313.8
2011-09-30,9505.0
2011-10-31,9525.8
2011-11-30,9559.5
2011-12-31,9610.1
2012-01-31,9657.7
2012-02-29,9731.5
2012-03-31,9789.3
2012-04-30,9837.1
2012-05-31,9889.9
2012-06-30,9934.6
2012-07-31,9998.1
2012-08-31,10055.3
2012-09-30,10115.2
2012-10-31,10193.1
2012-11-30,10256.5
2012-12-31,10319.8
2013-01-31,10451.5
2013-02-28,10477.0
2013-03-31,10489.1
2013-04-30,10555.8
2013-05-31,10590.3
2013-06-30,10630.1
2013-07-31,10682.5
2013-08-31,10728.9
2013-09-30,10783.5
2013-10-31,10835.3
2013-11-30,10948.7
2013-12-31,10954.1
2014-01-31,11020.3
2014-02-28,11076.6
2014-03-31,11169.3
2014-04-30,11207.6
2014-05-31,11259.8
2014-06-30,11326.3
2014-07-31,11377.2
2014-08-31,11434.0
2014-09-30,11462.9
2014-10-31,11496.7
2014-11-30,11558.6
2014-12-31,11594.7
2015-01-31,11674.0
2015-02-28,11743.9
2015-03-31,11871.7
2015-04-30,11888.1
2015-05-31,11927.6
2015-06-30,11957.9
2015-07-31,12002.9
2015-08-31,12052.0
2015-09-30,12100.6
2015-10-31,12154.6
2015-11-30,12192.5
2015-12-31,12277.0
2016-01-31,12340.1
2016-02-29,12471.4
2016-03-31,12552.3
2016-04-30,12616.6
2016-05-31,12697.0
2016-06-30,12763.7
2016-07-31,12830.6
2016-08-31,12889.1
2016-09-30,12968.2
2016-10-31,13027.4
2016-11-30,13099.7
2016-12-31,13174.1
2017-01-31,13214.2
2017-02-28,13288.7
2017-03-31,13359.2
2017-04-30,13428.6
2017-05-31,13486.6
2017-06-30,13537.3
2017-07-31,13564.7
2017-08-31,13621.8
2017-09-30,13671.4
2017-10-31,13714.4
2017-11-30,13767.6
2017-12-31,13802.4
2018-01-31,13854.8
2018-02-28,13872.0
2018-03-31,13914.6
2018-04-30,13971.2
2018-05-31,14001.3
2018-06-30,14066.0
2018-07-31,14125.8
2018-08-31,14155.2
2018-09-30,14197.7
2018-10-31,14228.4
2018-11-30,14235.8
2018-12-31,14254.9
2019-01-31,14373.9
2019-02-28,14443.3
2019-03-31,14486.2
2019-04-30,14533.5
2019-05-31,14568.9
2019-06-30,14668.4
2019-07-31,14787.0
2019-08-31,14857.9
2019-09-30,14935.2
2019-10-31,15026.6
2019-11-30,15153.1
2019-12-31,15251.3
2020-01-31,15325.8
2020-02-29,15406.8
2020-03-31,15470.4
2020-04-30,16011.4
2020-05-31,17039.1
2020-06-30,17889.2
2020-07-31,18175.7
2020-08-31,18316.6
2020-09-30,18378.5
2020-10-31,18601.6
2020-11-30,18747.9
2020-12-31,18958.7
2021-01-31,19129.5
2021-02-28,19393.2
2021-03-31,19665.3
2021-04-30,19913.2
2021-05-31,20138.8
2021-06-30,20402.8
2021-07-31,20429.5
2021-08-31,20578.9
2021-09-30,20832.5
2021-10-31,20994.8
2021-11-30,21187.5
2021-12-31,21436.7
